Date,Open,High,Low,Close,Volume
28,1322.50,1373.00,1317.22,1373.00,1603190
25,1351.50,1367.50,1329.00,1334.00,1374172
24,1262.50,1332.00,1234.50,1324.50,1674916
23,1272.00,1340.50,1272.00,1326.00,1312021
22,1278.50,1321.50,1265.50,1300.50,1183638
21,1303.00,1313.50,1283.00,1300.00,1625391
18,1363.00,1371.48,1292.00,1300.00,3419887
17,1365.00,1384.00,1334.50,1360.50,1895580
16,1362.00,1371.00,1298.50,1342.50,1753165
