Date,Open,High,Low,Close,Volume
28,2044.00,2095.00,2020.35,2089.15,349612
25,2045.00,2084.45,2030.00,2059.55,286586
24,2085.10,2120.65,2002.00,2014.00,474202
23,2169.05,2197.00,2143.70,2151.30,376034
22,2154.90,2180.80,2100.10,2165.40,323721
21,2178.70,2205.25,2151.00,2184.90,291112
18,2208.75,2220.00,2172.00,2181.15,295149
17,2240.40,2267.55,2215.75,2226.85,218668
16,2250.00,2266.25,2215.40,2239.40,218682
