Date,Open,High,Low,Close,Volume
28,503.94,513.12,499.31,511.46,592643
25,506.21,512.8769,497.22,512.56,460431
24,468.58,511.497,464.01,509.15,986314
23,496.33,501.51,481.25,482.66,631782
22,492.56,510.8597,490.01,494.11,698384
18,504.03,510.64,494.74,498.65,645813
17,521.01,523.71,501.06,501.76,619346
16,526.17,529.49,514.23,526.38,534933
