Date,Open,High,Low,Close,Volume
28,40.12,40.44,39.80,40.08,31926340
25,39.89,41.18,39.87,40.11,53627857
24,40.67,40.74,39.33,39.68,55965819
23,40.25,40.94,40.18,40.90,33611766
22,40.93,40.93,40.01,40.11,32138660
21,40.80,41.15,40.60,40.93,25357956
18,40.21,41.08,40.04,40.96,32142190
17,40.58,40.87,40.41,40.61,27164921
16,41.00,41.08,40.40,40.57,48305457
